N_mu, N_sigma, GaussCount, PointsPerGauss, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
20000, 0, 8, 2500, 256568.96468102932, 880.6195379696161, 97389.2357439375, 4391.27558263257, 257928.0633262396, 902.2688185616686, 9331.8006524375, 860.3047938547793, 1.406213073893296, 0.05661556858750271, 1250, 0, 732.6588182808273, 72.24865739473508, 8867.243567937501, 906.2485230347954, 115.126488625, 3.7690987908438722, 0.5226341875, 1.970099598592582, 220.1207074375, 53.60768886817921, 259431.88645213842, 936.9570980297962, 5666.9579269375, 745.4029894443489, 2.046528041891072, 0.15678550319676035, 625, 0, 529.2795410179425, 62.507495479231885, 5013.7966784375, 749.8816648222033, 243.09526899999997, 4.633833746642381, 0.0548816875, 0.014796278470948152, 401.7203033125, 5.125823440784247, 261091.11175745726, 916.4741847008078, 4194.2678056875, 400.2084493755532, 3.003826858344233, 0.2852817581147498, 312.5, 0, 336.25655608369385, 38.67547236438927, 2871.964022625, 392.3728705059194, 509.2626080625, 22.05751090209754, 0.2428436875, 0.04523375580625429, 800.5061483750001, 2.9691540917435755, 262962.54933589697, 894.0695860195485, 4332.848083875, 384.5149093160116, 4.569200825546562, 0.6411654488844648, 156.25, 0, 192.82548446646015, 30.454524263029427, 1655.2119033749998, 352.35516795109214, 1055.5639060624999, 44.26952617197614, 1.066558125, 0.12997823419176527, 1606.0717315625, 8.033234478000212, 265057.9151349664, 902.3484533216822, 6190.755383374999, 215.15136393191767, 7.231332777505139, 0.9404304499069158, 78.125, 0, 100.10076102393589, 16.97302967000519, 835.4185638749999, 195.916879198734, 2118.4073193125, 20.652883660182944, 5.116742125, 0.38602785172638054, 3214.7800505000005, 21.211912924262336
19998, 0, 9, 2222, 256891.6584108472, 725.4210699869612, 105238.04665962499, 5643.179456880699, 257980.2794842124, 733.3503166136392, 8758.446992125002, 995.7429910439455, 1.2999324567170183, 0.033318049286504475, 1249.875, 0, 700.0584581621131, 46.235120911327066, 8351.372202375002, 960.4350117471527, 150.5214015, 135.10107736221752, 0.014708187499999997, 0.0026999484999428694, 215.37126299999997, 61.31014033842577, 259494.23777729273, 805.7429718352533, 5470.7902230624995, 799.9739443986005, 1.9133722990658604, 0.12394465790344425, 624.9375, 0, 507.9890215065224, 51.20769715185289, 4696.0287433124995, 628.5705146787606, 246.5915241875, 4.104528029594452, 0.05192787499999999, 0.005731640459709159, 400.51301487500007, 3.97366352498733, 261117.6713900566, 807.4220801970647, 4320.6211369375005, 569.4300268218198, 2.7711653999482833, 0.25598983248585044, 312.46875, 0, 329.6028944718201, 38.00222704639424, 2930.6799402500005, 545.8402123306739, 509.7175155, 8.680982967402329, 0.21844925000000004, 0.00453464716791726, 835.6161385624998, 127.06690856432311, 262996.9473878741, 823.4627815871459, 4272.761017, 258.6052359718071, 4.222517529476941, 0.4647013090237068, 156.234375, 0, 189.795470572419, 24.575108178620745, 1598.5802618124999, 266.8373988434841, 1050.7078874374997, 29.440506059028483, 1.1495982500000002, 0.2825422518702955, 1609.7605123125002, 14.734244298873772, 265081.8747166395, 808.4731887258623, 6174.569567875, 150.02750144689642, 6.608170720084552, 0.732326120337206, 78.1171875, 0, 100.21836567496277, 14.117092618454999, 827.428608375, 157.15876441863313, 2120.7277358124998, 19.61369629979653, 4.971960375, 0.2832524822446121, 3206.4789235625, 14.821840768666581
20000, 0, 10, 2000, 257321.19312876463, 564.5708489141925, 101522.03369099999, 6194.05890638913, 258221.036357224, 575.821114012311, 8008.435155062501, 561.0276464783142, 1.2428079706513167, 0.03677297046169493, 1250, 0, 620.2083500226436, 56.20839627840338, 7549.8219674375, 528.3744282357223, 116.05528462500001, 3.7016480614290717, 0.014343124999999998, 0.005041209017624145, 291.6700208125, 164.3042075845508, 259645.09990555048, 634.5599982305209, 5513.1350568125, 666.3038455553201, 1.7519203368533982, 0.10298009021532505, 625, 0, 510.1261128637633, 46.02913214212305, 4843.4569629375, 675.5747969613896, 245.226309, 10.111528178471536, 0.051334375, 0.0055797856015598855, 400.9499803125, 5.5134760832188165, 261266.6215941906, 619.831203393766, 4347.306059875, 467.44611411853487, 2.5366449114280356, 0.11537723492499741, 312.5, 0, 332.5146089090966, 17.743553481632055, 3021.6611270625003, 476.0331849458079, 506.0146413125, 7.043679980303242, 0.263981625, 0.09536634448724232, 804.243966625, 4.626513504977911, 263122.6011273861, 582.0602583184478, 4330.748900875001, 173.79002443974838, 3.8205812354478037, 0.272286191766076, 156.25, 0, 194.49353348733354, 14.33049503197478, 1657.2222145624999, 171.99632307640948, 1034.3875751875, 14.776417034201087, 1.1350144375000002, 0.10501925116613665, 1614.8134156875003, 10.382855295491849, 265220.69419527054, 544.4168425487301, 6267.6208836874985, 144.03867616576505, 5.907956430645528, 0.5830991872383438, 78.125, 0, 105.1452261279369, 11.706596891764528, 886.5107223125001, 141.93873329534625, 2127.74433575, 64.92433480719615, 6.031462437499999, 1.1419491337560184, 3225.0066325000007, 18.582594209229548
19998, 0, 11, 1818, 257769.9152249694, 449.3751542137058, 101715.41433318751, 4549.541444087757, 258481.28730404377, 449.2756549075266, 8143.7885434375, 683.7560827976597, 1.1807209660649058, 0.027547519861233983, 1249.875, 0, 562.5934884117229, 44.506016972187105, 7790.500933375, 684.3791688866147, 117.75521725, 4.817444295157463, 0.01544025, 0.003606120205636523, 200.0199415625, 4.64477149113444, 259807.93606048822, 404.18199005319855, 5844.261997937499, 826.2053058932186, 1.598919257425148, 0.12009559773287538, 624.9375, 0, 519.0783990525017, 58.55761729563188, 5182.3751994375, 832.1494255157428, 247.5582168125, 6.805729708524562, 0.051830875, 0.005036922273013055, 399.677744875, 2.0386533134289526, 261377.60953623056, 400.1780657475885, 4380.673622562502, 414.3807996296557, 2.2497715005178245, 0.2462853211163543, 312.46875, 0, 349.81218484471106, 43.07568264963686, 3042.8445665625004, 435.3145947941397, 514.98282725, 25.355480612232796, 0.24369281250000002, 0.0358657592649639, 805.671397625, 9.387291381430572, 263145.8576323986, 412.7830111567515, 4598.4208520625, 375.8630200532284, 3.24312490914503, 0.5201579077016875, 156.234375, 0, 215.30544216485117, 35.16957972267779, 1919.8655808125, 418.2292037595021, 1045.6218885625, 48.01080000865035, 1.0875819375000002, 0.0912878665099234, 1608.6716167499999, 9.898577918973956, 265174.85804128647, 436.1616615759957, 6450.8546068125, 292.7212144909027, 4.87152382583244, 0.9832808504489552, 78.1171875, 0, 120.98623495755218, 24.605110366894667, 1109.5335049375, 325.6029887281767, 2100.9642921875, 40.1839037966634, 5.4246623125, 0.8702081852390066, 3217.7502951875, 21.393375259924444
19992, 0, 12, 1666, 257865.7338398099, 480.85324612890025, 102807.024032375, 5592.84688945767, 258399.45545566082, 496.14346505701945, 7570.7939617500015, 840.9825833947805, 1.128077531432166, 0.01795037268343876, 1249.5, 0, 504.67407106500593, 31.57957401032018, 7216.1044115625, 834.8477368219361, 116.7143160625, 2.675741245198128, 0.015272937499999998, 0.006933717207140319, 199.42074599999998, 1.6094628566665128, 259807.42252606153, 563.5123464897937, 5024.9815664375, 699.1730650610511, 1.587647204635429, 0.08235454619270571, 624.75, 0, 466.441329406977, 43.22395678095671, 4372.004325, 702.9354526617997, 241.96045268749998, 2.370988126871859, 0.0491720625, 0.0025174520221036487, 399.47771000000006, 1.5666754256910154, 261384.67283582687, 576.335986491973, 4313.293709250001, 851.1299965825687, 2.2685318079403, 0.1793688874264126, 312.375, 0, 317.36306033803635, 30.40852129339638, 2995.3701581875002, 855.1528166467737, 505.39411356249997, 9.35794280106458, 0.2362150625, 0.027147613588648884, 800.421601125, 2.6403723324650192, 263233.9726163149, 568.3091114565965, 4255.064690375, 187.34942891023144, 3.3636544145751737, 0.3419326356825159, 156.1875, 0, 190.43635614725343, 19.49977763126942, 1586.3006791874996, 192.81243184843777, 1044.599410125, 18.992863125628148, 1.2279800625000001, 0.3800815442052319, 1606.533963125, 8.699565855500495, 265308.22773981094, 539.4842202961323, 6228.888292125001, 153.71982910033816, 5.166428277368428, 0.5693441078825888, 78.09375, 0, 104.29989173112997, 13.623364541737164, 872.7645660000001, 156.8692630442521, 2120.933652875, 29.470629533610108, 5.650642437500001, 1.3610386660813483, 3210.3640434374997, 18.602120852521033
19994, 0, 13, 1538, 258089.66803902388, 686.6092456691484, 100200.16350899999, 4374.329117127163, 258468.66358846426, 688.0884852019615, 7511.041288000001, 745.7182868708725, 1.085536570045974, 0.014052182566179506, 1249.625, 0, 436.95426106464237, 29.724863119152467, 7116.3117385000005, 720.7477756423733, 118.50245418749999, 3.9760950401926447, 0.015003624999999998, 0.00511495797728339, 228.81920924999997, 67.7910610644982, 259857.9601510167, 730.373377198739, 5295.746574499999, 833.676134056981, 1.504967703643593, 0.04971701014021636, 624.8125, 0, 454.3698002403903, 26.195603247640868, 4635.921373062501, 838.0771074301439, 247.32249449999998, 5.335959637826602, 0.0581165625, 0.017137752222683513, 401.093051, 2.5816133999005544, 261426.49420797825, 727.6458374146418, 3954.5981544375, 184.6771834773273, 2.1406150638322567, 0.1066645096819771, 312.40625, 0, 313.9304941508321, 19.43728191265167, 2626.0845541249996, 187.52399864124754, 510.151792875, 11.634527780544857, 0.2408225, 0.036998816969262674, 804.5497604999999, 5.994085166283515, 263252.1953715682, 706.738626346721, 4243.52472375, 146.49086791375515, 3.146316069593626, 0.18001711149703156, 156.203125, 0, 190.91281208690847, 12.90209101476005, 1583.5001515, 149.4674964224247, 1035.0504354374998, 13.114227740230385, 1.0932263125000001, 0.07094416325861377, 1607.5514067500003, 6.963494896978676, 265337.81102621555, 755.2406020836125, 6185.325079187501, 114.38537573530638, 4.902324399951132, 0.36843255231367306, 78.1015625, 0, 103.96720893934527, 9.15420039086541, 853.003935125, 104.7522178454973, 2103.3812249374996, 22.055098480475387, 5.264718, 0.7877947660978237, 3209.0066382499995, 11.519926125834914
19992, 0, 14, 1428, 258360.42229771614, 469.56282814584864, 104489.75749881251, 4880.8105642869905, 258609.79551780224, 465.1478157288191, 7110.905392062501, 865.5360879031118, 1.0529469286049196, 0.011552589713315348, 1249.5, 0, 349.73204364956484, 29.16972136820754, 6754.3511975625, 870.3262839763404, 119.549941625, 6.0441560812313355, 0.6586009999999999, 2.4763650153487067, 199.459697875, 2.267785825021564, 260013.2507198453, 529.3754705029228, 4948.150933812501, 897.7922013476963, 1.4678020226196318, 0.06556576305855596, 624.75, 0, 428.39616813660166, 33.705938844311916, 4269.721382, 854.5275170926261, 244.884320625, 4.202005167508585, 0.07036931249999998, 0.07058886700971224, 400.6657676874999, 3.0717145771841294, 261573.69014555216, 562.4768197859312, 3968.744529875, 474.5468791806551, 2.089981517989853, 0.15099399490593432, 312.375, 0, 302.4343872792377, 28.659061074240157, 2622.795492875, 405.2293060603682, 503.45394981249996, 8.013401155102535, 26.714492187500003, 102.58884027015506, 802.0742275625, 4.515754010957095, 263345.335129261, 587.6070293471421, 4221.6092695625, 216.1249606661884, 3.013913231415599, 0.2850289851458904, 156.1875, 0, 190.08627835084735, 20.140030914181047, 1575.10761275, 217.45821198286325, 1027.7472575, 9.38511566949025, 1.0761705625, 0.08251454176232266, 1605.4060047500002, 9.964841327441526, 265421.5699366331, 616.9305361677496, 6198.4704535, 163.61444794709183, 4.6703381963718735, 0.6034281664800016, 78.09375, 0, 104.77003406521096, 14.288350295329252, 871.465414, 163.89113963836556, 2098.3738377499994, 19.44944902800245, 5.03914975, 0.3409662109466457, 3209.8658350624996, 13.993252634026044
19995, 0, 15, 1333, 258843.13695275784, 413.18093559661327, 101656.11509162499, 5443.6987632971695, 258978.49916797876, 418.38835228111805, 6592.790672875, 609.167377487376, 1.025186486411722, 0.008224530815763707, 1249.6875, 0, 240.10471153361982, 28.066692325730543, 6099.82817975, 602.4668655210891, 117.07375256249999, 4.064910509043124, 0.013591625000000001, 0.002487549870731238, 320.289304375, 186.30683925946644, 260376.64587712288, 429.6871111863162, 4528.9297778125, 495.767730129442, 1.4227217721801961, 0.07954547263901805, 624.84375, 0, 404.05578134473615, 46.86982029069769, 3876.3848809375, 496.5400162496649, 243.0721806875, 2.441983517381458, 0.04971325, 0.003237304810718324, 400.307515625, 2.2407295863639214, 261915.75627338886, 448.41448743430027, 3968.7437114999993, 440.69447132093165, 2.0046539952413207, 0.13476176666944545, 312.421875, 0, 295.45802882171097, 25.824456819522513, 2654.9467403124995, 443.1404827992176, 504.26332062500006, 4.113779539161025, 0.25394887499999996, 0.045418594563343496, 800.6789430625, 4.860717572174564, 263697.82816559076, 432.26418815202834, 4160.905749749999, 166.93301818252155, 2.9190431752753017, 0.22556116972215556, 156.2109375, 0, 184.83988106746284, 16.43473851784012, 1510.7025958749996, 170.405078502501, 1027.4182035625, 8.979595485105218, 1.1212706875, 0.19860558236323533, 1606.2978801875001, 7.673676495158411, 265734.91735076904, 423.7386495146806, 6188.9344659375, 127.64027982036082, 4.457292450195192, 0.47616373905057696, 78.10546875, 0, 104.2329067793257, 11.984437384590654, 861.1171105000001, 139.9347738571613, 2094.467371375, 17.17141399261485, 5.353655750000001, 0.7410193447952712, 3213.9977386875, 15.691816102535135
20000, 0, 16, 1250, 259427.86702406406, 585.9610435969639, 100425.65282931249, 4754.29665859975, 259453.64555299282, 585.8867087102795, 6397.2197358124995, 626.9692691131162, 1, 0, 1250, 0, 0, 0, 5891.637052874999, 565.3723529911684, 114.34134806249997, 2.021906542229992, 0.015074562500000003, 0.0017187588170228395, 359.3581619375, 238.11543127680665, 260861.03308969736, 577.624565499796, 4736.502912875, 839.5043017102679, 1.3947224766610553, 0.05321041391975245, 625, 0, 375.85789143947346, 32.78197588115988, 4083.7171406250004, 844.98187661408, 243.7982076875, 2.3390183209259425, 0.0513280625, 0.00483374427163806, 400.239606125, 2.4566459354944956, 262451.9437651634, 552.7594489562622, 3656.14531175, 342.2168240342317, 2.0150350613392987, 0.12010089458942245, 312.5, 0, 272.1742949720843, 23.082664630602316, 2335.329160375, 347.2837947142348, 510.04671268749996, 19.49860657769726, 0.26340425, 0.07665212256805091, 801.4172681250001, 3.293896722447225, 264222.1613075137, 595.1330639338129, 4058.514536625, 159.55243305309892, 2.9288365269971877, 0.24281478618962493, 156.25, 0, 172.71315779179656, 16.92974593610289, 1393.0442184375, 162.38629196325493, 1039.958919375, 27.44967581844456, 1.1351955, 0.12610340271281342, 1606.10130925, 9.194430564784053, 266281.7215051055, 596.3678866425162, 6127.997261375001, 127.82597036123506, 4.529884118764191, 0.47160336806880027, 78.125, 0, 96.30244755291761, 11.456512613140687, 774.1441586249999, 122.55540002618362, 2117.2344362500003, 42.248754107562846, 5.258006, 0.7979211225550431, 3212.3113228750003, 17.84099522647368
19992, 0, 17, 1176, 259426.84319728613, 630.88856743257, 100347.18281981249, 3534.329176859024, 259535.02297639847, 647.0682792657757, 7359.351942812499, 815.6131596893305, 1.0116389485583317, 0.012116810400291592, 1249.5, 0, 247.90820459244836, 40.232413496443, 7003.8588298125005, 822.0103149714176, 113.57347506250002, 2.1280385818058645, 0.0146355, 0.003347404946372637, 199.45125325000004, 1.7914554658221487, 260717.22971326113, 646.4895545576171, 4386.06337825, 503.34211274833604, 1.3373336432905318, 0.04262097976956375, 624.75, 0, 367.51949056924695, 26.167098052156415, 3710.0851473750004, 512.5729226186364, 244.46545212499998, 2.6213909211805366, 0.0490060625, 0.003263707639877346, 402.0701725, 8.358112505728649, 262335.872913599, 669.4012652357275, 3512.4172533749997, 170.5036041506701, 1.9514169582188323, 0.10548119574222573, 312.375, 0, 265.0733482324315, 20.805576415305712, 2187.96083675, 168.15293419327065, 506.0682685625, 6.404995394461727, 0.2236673125, 0.021444287807941855, 803.6881555, 8.948772853532814, 264093.98278295994, 628.633583692302, 4022.49594725, 164.30495254692732, 2.831646482111681, 0.26282735330045, 156.1875, 0, 170.55177294847707, 17.48657325295967, 1365.8514468125002, 171.30920211593386, 1039.2412504375002, 20.00793463814935, 1.0809281875, 0.09435057399747149, 1604.0892154999997, 4.038340373234183, 266131.5335980058, 633.190248046481, 6118.375293562501, 125.73153867947951, 4.288893624218714, 0.47300760810159564, 78.09375, 0, 98.06159195430418, 11.947715842632688, 790.2417324375001, 131.50728876898413, 2105.5006875625004, 29.297352535505357, 5.165882687500001, 0.32382050178449917, 3204.1683611875, 9.41913345912154
