N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 66281.83559346199, 59949.486237, 67078.09841871262, 5134.218554, 1.2582852099837363, 1250, 771.6336566013694, 5093.468492, 11.99445, 0.014447, 13.287213, 68009.83674788475, 1328.841603, 1.6563433355840005, 625, 519.9444681886711, 1265.73639, 26.276267, 0.048221, 26.146935, 68973.25893640518, 711.600259, 2.2179317425179748, 312.5, 294.64804216217016, 601.64249, 53.087285, 0.215103, 50.28171, 70075.88148212433, 505.644894, 3.0779977308594835, 156.25, 155.10460180149394, 289.781217, 114.738676, 0.986398, 98.662137, 71309.88993740082, 544.746479, 4.237274481681509, 78.125, 70.71819072911863, 113.045844, 230.523772, 4.500611, 196.16887
20000, 8, 2500, 66040.39362025261, 58634.443937, 66911.00175309181, 5733.268558, 1.322524858124096, 1250, 617.2888302893549, 5703.919604, 11.276436, 0.01103, 12.963516, 67775.29210782051, 1317.068447, 1.704421764277479, 625, 477.2527501230349, 1259.744915, 25.171197, 0.045876, 26.474659, 68794.46771740913, 755.507868, 2.284019312956943, 312.5, 298.8401537611704, 646.016122, 54.129558, 0.216115, 50.025791, 70003.62133026123, 523.181569, 3.1935924160583413, 156.25, 152.03201759826777, 306.771989, 112.254181, 1.016074, 98.486018, 71102.37124657631, 582.149742, 4.252882880265149, 78.125, 79.57587770486732, 147.179482, 229.767576, 4.681591, 196.073912
20000, 8, 2500, 65782.1619002819, 61401.56618, 66562.07523870468, 3636.544414, 1.2552267746382515, 1250, 771.5592167811878, 3599.812718, 10.861128, 0.011491, 13.147441, 67477.71277427673, 1172.436257, 1.6738994111249454, 625, 498.67505702611595, 1121.83014, 24.411093, 0.044814, 25.528275, 68407.8303835392, 723.613545, 2.181108448394557, 312.5, 309.57026666009125, 619.868716, 51.852402, 0.214833, 50.182053, 69547.52916097641, 478.989527, 3.050313181532129, 156.25, 151.43511399275928, 270.536574, 108.480661, 0.991448, 98.579032, 70833.64497709274, 536.271722, 4.249897361920547, 78.125, 70.28919058077138, 112.715185, 224.449242, 4.545916, 194.020926
20000, 8, 2500, 66161.83879542351, 58891.231502, 67025.1756594181, 5699.783996, 1.3102714536604019, 1250, 639.1282148364286, 5439.861838, 11.335907, 0.011171, 242.78296, 67889.80825352669, 1283.460695, 1.6996873299010165, 625, 489.64279071584417, 1230.131046, 24.62334, 0.045856, 25.246248, 68864.96977567673, 760.577184, 2.260935097815607, 312.5, 297.03645609588057, 655.067068, 54.235056, 0.20283, 49.400429, 69919.9624876976, 545.741193, 2.967316402941409, 156.25, 170.57755750684203, 333.444648, 110.807912, 0.991818, 98.844469, 71121.24660944939, 564.391904, 3.978727650383541, 78.125, 82.22140460366752, 138.133195, 226.076581, 4.57999, 194.991144
20000, 8, 2500, 65848.27011418343, 62838.622578, 66595.15341830254, 2758.539365, 1.2486317156807287, 1250, 790.3462848650584, 2718.618054, 10.854826, 0.011922, 13.841241, 67545.5621676445, 1311.673449, 1.6761570102105543, 625, 528.1653978632072, 1260.638378, 24.268054, 0.044734, 25.468674, 68505.39822721481, 730.855012, 2.2079443597394475, 312.5, 309.87164681525803, 628.023264, 51.227962, 0.212779, 49.335267, 69500.08563423157, 766.098338, 2.8236071880521383, 156.25, 192.75, 558.549479, 108.679174, 0.991417, 97.362182, 70790.06031179428, 570.668051, 4.035541070188083, 78.125, 85.37669288219122, 144.854817, 226.702784, 4.536388, 194.005999
20000, 8, 2500, 65123.82513308525, 59371.01671, 65879.4707159996, 5603.674501, 1.2428332134446172, 1250, 801.441513773775, 5299.806773, 11.373738, 0.01058, 14.613306, 66770.25550818443, 1382.89049, 1.6526216908960902, 625, 523.8654407383636, 1323.179175, 26.443271, 0.046286, 27.026312, 67771.40141654015, 789.773873, 2.2070184319009867, 312.5, 317.1303458359039, 682.348418, 52.398365, 0.220022, 49.783817, 68792.0397040844, 633.614799, 2.8725540951259396, 156.25, 196.56336446550768, 422.798557, 106.041082, 1.096283, 99.380834, 69904.99272418022, 661.133974, 3.890488067753852, 78.125, 100.75655220629575, 197.83374, 222.348206, 4.473541, 193.744118
20000, 8, 2500, 66111.49023580551, 61645.918729, 66923.31701183319, 3604.342465, 1.2665432334775566, 1250, 758.0605186922743, 3566.760197, 11.304398, 0.011952, 13.334381, 67814.06488251686, 1431.207469, 1.6245826996662447, 625, 554.0795858899694, 1380.060419, 24.146978, 0.049232, 25.362726, 68835.76431822777, 744.458717, 2.2048068374405787, 312.5, 314.31184753362385, 642.237142, 49.985635, 0.215053, 48.981974, 69946.99664473534, 508.427538, 3.008567779665972, 156.25, 162.54734887102896, 302.289561, 105.732393, 1.00896, 98.869085, 71108.71740198135, 554.062072, 4.065625368404769, 78.125, 80.9744847930507, 133.131884, 221.952153, 4.575933, 193.824238
20000, 8, 2500, 66209.6859652996, 59618.190906, 67097.4603600502, 4435.414267, 1.3220083447225146, 1250, 628.4035327717373, 4402.633875, 11.313806, 0.01068, 14.665645, 68057.23252677917, 1116.993288, 1.7603012924077641, 625, 443.9355949909851, 1063.553783, 24.936377, 0.045275, 25.929637, 69009.22245931625, 685.562288, 2.291949692798051, 312.5, 281.8679877176548, 581.143016, 53.471165, 0.219351, 49.873765, 70105.55779361725, 498.940686, 3.1411297921584427, 156.25, 147.56772809459392, 284.880647, 113.746477, 0.993711, 98.793654, 71246.57132816315, 550.622547, 4.159606901431365, 78.125, 72.18520017981525, 116.188171, 231.706739, 4.593335, 196.643029
20000, 8, 2500, 65853.0332763195, 63142.780529, 66672.84109282494, 2618.478369, 1.2800779712328656, 1250, 721.1785493204856, 2577.374443, 11.773427, 0.013455, 13.912334, 67528.24183940887, 1328.728772, 1.6708086682765757, 625, 521.2532374000184, 1271.857758, 24.167055, 0.046367, 25.720566, 68465.57166528702, 925.498925, 2.1199532797656873, 312.5, 356.161918935756, 821.001886, 50.274175, 0.212258, 49.968162, 69472.81348848343, 1199.973026, 2.739392388195738, 156.25, 217.0011160685585, 992.930184, 105.029878, 0.988512, 97.958409, 70572.95851159096, 717.923936, 3.5318616945802885, 78.125, 126.56658944010461, 295.895652, 218.28829, 5.154326, 194.037126
20000, 8, 2500, 66128.57309031487, 61453.199152, 66876.24387645721, 3965.135779, 1.2229972227700496, 1250, 855.3928921846382, 3912.332235, 11.578202, 0.01082, 13.610579, 67700.56045985222, 1679.922472, 1.5408272367705045, 625, 627.9431701993421, 1621.213694, 24.188315, 0.04782, 26.681025, 68671.45223927498, 1138.923925, 2.0105952198517403, 312.5, 387.06475556423374, 886.616621, 51.891646, 0.219441, 49.706313, 69808.52774143219, 741.247311, 2.776678270837796, 156.25, 193.25416392667972, 387.205746, 109.869003, 0.997088, 98.421797, 70937.18585944176, 588.521018, 3.7791542244771152, 78.125, 93.26172848494714, 160.170609, 229.124952, 4.516662, 194.125312
