N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 255884.48048591614, 91489.299262, 257373.4133644104, 8881.206025, 1.46461069374547, 1250, 671.6961738762549, 8553.693664, 113.213715, 0.012894, 198.164931, 258604.49924468994, 6894.47437, 1.8794182715049061, 625, 597.5784467331465, 6253.734829, 239.796938, 0.04824, 398.476692, 260227.7965669632, 4579.274963, 2.7227950826160687, 312.5, 377.183890827803, 3257.597461, 497.74458, 0.2187, 801.26863, 262145.3359642029, 4718.974528, 4.182700009900082, 156.25, 213.44254203415025, 1899.440104, 1189.761658, 1.476236, 1606.392763, 264266.642537117, 6375.21476, 6.757225711887717, 78.125, 111.46166661682392, 941.660112, 2117.952847, 5.212174, 3287.264913
20000, 8, 2500, 255593.77396011353, 92237.297411, 256857.9053068161, 10215.144877, 1.3489764797055992, 1250, 807.2957946131021, 9889.382806, 112.076474, 0.013285, 198.429276, 258221.59902763367, 7021.231328, 1.807440508889648, 625, 630.6820217034889, 6381.540042, 239.379586, 0.047429, 397.643312, 259827.6906042099, 4758.096593, 2.5565445141787255, 312.5, 393.48618146003554, 3437.908151, 493.829516, 0.240941, 807.149218, 261736.30618476868, 4749.388529, 3.845622923731299, 156.25, 228.62072850028275, 2046.870865, 1074.949318, 1.257446, 1604.957995, 263844.0001382828, 6551.861927, 6.020359550246505, 78.125, 124.55034750051884, 1130.22651, 2161.148704, 5.265014, 3214.600587
20000, 8, 2500, 256261.94566631317, 95844.029994, 257671.19935798645, 9685.798142, 1.4196474829243402, 1250, 713.0157782265411, 9305.901939, 113.486015, 0.014156, 199.881256, 259154.10836315155, 5398.511265, 2.0603540140527365, 625, 528.4269698832564, 4756.704966, 240.015006, 0.050986, 398.984694, 260733.83106899261, 4213.680986, 2.923620453090414, 312.5, 341.1162741646901, 2892.031046, 501.556482, 0.252744, 808.109286, 262672.6896343231, 4188.612118, 4.617195304166044, 156.25, 183.3522054680554, 1542.283485, 1024.692022, 1.002107, 1610.913041, 264663.14170360565, 6101.444934, 7.258234055709719, 78.125, 95.84676083467818, 773.006681, 2097.451999, 4.492626, 3208.525575
20000, 8, 2500, 257403.9666404724, 92927.378602, 258762.85456466675, 9804.504547, 1.4031490338352928, 1250, 737.1200716301246, 9471.775812, 112.690645, 0.014097, 199.951417, 260502.83150959015, 5833.07684, 2.284646598892304, 625, 436.1568668495316, 5183.308233, 248.394455, 0.049623, 399.138533, 262174.2995119095, 3703.236262, 3.4058078852493887, 312.5, 281.7042997541926, 2372.606989, 516.432773, 0.229179, 801.858225, 263984.42977428436, 4026.242061, 5.026491762965099, 156.25, 165.32198696785616, 1335.084018, 1056.571748, 0.998941, 1607.969557, 266155.09194374084, 6003.96618, 8.100765256205747, 78.125, 82.78468872623729, 645.663676, 2136.76457, 5.20414, 3204.069887
20000, 8, 2500, 256011.3792772293, 94629.271994, 257268.58181381226, 10259.290325, 1.358476003381616, 1250, 780.8084752357648, 9616.325805, 115.221858, 0.01589, 198.784051, 258929.27591228485, 5157.503249, 2.1155872603225996, 625, 495.08654546452783, 4504.440641, 249.261791, 0.064971, 401.275436, 260569.1425971985, 4074.898698, 3.0248628385423544, 312.5, 326.0836740776821, 2762.276852, 502.979758, 0.219461, 799.63004, 262527.4276714325, 4122.077016, 4.637218482472265, 156.25, 176.26019474061636, 1446.617675, 1043.082396, 1.009501, 1612.501929, 264699.1045589447, 6002.989179, 7.721633805522083, 78.125, 84.22226917508219, 650.97689, 2123.06279, 4.604276, 3206.433035
20000, 8, 2500, 256677.5560684204, 93612.625646, 258063.86398983002, 9577.930443, 1.4100150165221055, 1250, 724.8724025647548, 9067.351166, 112.57055, 0.011692, 379.455687, 259387.59881019592, 6962.4978, 1.885329664652041, 625, 582.3408580891436, 6314.335323, 239.121312, 0.046537, 406.453066, 260924.12536239624, 4907.674066, 2.571016013007344, 312.5, 397.5468525846985, 3572.940995, 522.539233, 0.354514, 799.310561, 262608.7066497803, 5204.880579, 3.4687036526514454, 156.25, 253.05159429452326, 2441.419889, 1132.085792, 1.033927, 1611.695418, 264682.50091552734, 6636.377957, 5.502989666875436, 78.125, 132.8827902231888, 1264.029438, 2112.55291, 5.996845, 3233.579344
20000, 8, 2500, 257267.8252105713, 93781.317028, 258567.8158302307, 10201.17742, 1.341284771323181, 1250, 817.6788795120001, 9581.202894, 113.002369, 0.012563, 198.274996, 260154.45928001404, 5794.225943, 2.0516057796191856, 625, 534.8972448050187, 5136.421422, 249.263844, 0.065793, 405.506974, 261796.36810016632, 4145.693992, 3.0479095978808877, 312.5, 332.4456722533774, 2837.11449, 497.937582, 0.215484, 800.35607, 263602.88858890533, 4320.995087, 4.506568518162129, 156.25, 196.07217261763589, 1674.307471, 1026.762951, 1.00882, 1605.044116, 265675.29206466675, 6180.1937, 7.134792459293741, 78.125, 104.30963522129679, 867.93588, 2087.202145, 4.53142, 3203.582725
20000, 8, 2500, 255423.52859210968, 94632.035361, 256698.9948196411, 10469.453623, 1.3427169836856787, 1250, 809.8888812670539, 10128.364716, 112.37848, 0.011551, 199.050219, 258248.50901699066, 5595.188538, 1.9719435713831586, 625, 545.4714703813573, 4921.769653, 240.367587, 0.056265, 417.844668, 259972.29284095764, 4098.727912, 2.9946222668826463, 312.5, 327.27124644551344, 2770.530575, 513.106561, 0.254026, 800.278074, 261947.69691562653, 4050.699782, 4.88206607850186, 156.25, 171.82958490900222, 1405.863584, 1031.647724, 1.001716, 1602.885131, 264091.70598602295, 5998.732544, 8.060068963730105, 78.125, 85.04226890199955, 661.868165, 2109.750179, 4.552679, 3209.849807
20000, 8, 2500, 256410.8942527771, 97124.259833, 257627.51026821136, 10053.497974, 1.3152521789683358, 1250, 844.2075426102281, 9706.046085, 118.598714, 0.015249, 202.132774, 259092.39361763, 6194.153444, 1.8228513573798297, 625, 621.1254402292664, 5542.050424, 239.799683, 0.048351, 399.611629, 260775.82139015198, 4666.363512, 2.7409107453495327, 312.5, 381.9734529388135, 3346.570741, 504.242333, 0.2186, 801.421497, 262647.37500953674, 4729.323978, 3.9019407810504076, 156.25, 229.4115093560042, 2075.54725, 1040.930685, 0.996607, 1600.966236, 264780.3416252136, 6390.68331, 6.390831112459136, 78.125, 117.8176888777742, 1033.714024, 2127.526472, 5.19882, 3212.540908
20000, 8, 2500, 257993.33176898956, 96772.010197, 259441.62177848816, 9277.396785, 1.4740864893519707, 1250, 658.3134701644802, 8694.143365, 118.964199, 0.012693, 342.106834, 260911.51913166046, 5312.548745, 2.0893852139757954, 625, 523.5253694903429, 4647.363756, 244.837391, 0.0477, 407.628549, 262599.77662944794, 4096.336312, 3.100053560019695, 312.5, 328.76734745105085, 2784.672851, 504.818093, 0.22456, 797.917983, 264432.05687618256, 4258.838357, 4.674067040473475, 156.25, 190.98400620209011, 1600.257148, 1040.380884, 1.20068, 1605.068683, 266408.5687055588, 6270.179067, 6.620698022884816, 78.125, 109.7194219931002, 938.640885, 2112.837062, 5.093562, 3204.576055
