N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 170321.70292949677, 58196.918883, 171356.6576514244, 5319.061034, 1.2766136067666676, 1250, 852.554177164126, 5140.510124, 52.902138, 0.015359, 98.232791, 172803.27726221085, 3452.655978, 1.8450232225758691, 625, 577.1393895758632, 3135.412137, 117.152265, 0.052909, 198.478293, 174323.59961128235, 2217.123368, 2.7024465093260432, 312.5, 336.4654514210932, 1573.779076, 241.913936, 0.221625, 399.737565, 176119.3237528801, 2089.903432, 4.180261502224523, 156.25, 178.17415988296395, 796.967403, 489.32005, 1.007768, 801.271026, 177949.96387386322, 2979.740329, 6.651610260771948, 78.125, 87.03461057246135, 368.613358, 1003.336909, 4.582495, 1602.008241
20000, 8, 2500, 169416.438890934, 59554.746542, 170470.51611995697, 5373.728268, 1.2990524729143758, 1250, 853.5434230313066, 5210.755072, 51.684176, 0.011512, 105.586899, 171705.06444597244, 3583.020805, 1.71597527144312, 625, 647.184044534474, 3272.587173, 110.558241, 0.04772, 198.5356, 173188.2196416855, 2751.411314, 2.4020871200295786, 312.5, 398.48278664203303, 2116.222961, 235.098217, 0.212869, 398.757029, 174928.75630044937, 2577.777895, 3.6461229811475806, 156.25, 220.4875634247882, 1292.160186, 483.940754, 0.981508, 799.551815, 176744.32860851288, 3381.260033, 5.227088714444702, 78.125, 120.15663605269582, 782.743546, 989.475481, 4.610207, 1603.201697
20000, 8, 2500, 169589.85357761383, 74508.175555, 170744.23691749573, 6483.102071, 1.3162752050192976, 1250, 805.2425876715662, 6290.488815, 54.368125, 0.014217, 98.53061, 171930.36130714417, 3499.725749, 1.7806648290490756, 625, 606.5950564421046, 3181.199857, 114.254766, 0.056556, 198.89349, 173330.41693925858, 2706.60904, 2.4263482534217213, 312.5, 401.95032342318126, 2061.53143, 229.850395, 0.215193, 399.954031, 175010.20851564407, 2411.80545, 3.5737205753000105, 156.25, 225.31131241018502, 1135.583713, 470.831104, 0.98768, 799.865643, 176944.59500169754, 3101.225031, 5.6834370001923356, 78.125, 110.60420002197023, 514.328843, 976.121323, 5.127136, 1602.462773
20000, 8, 2500, 170801.0983490944, 59954.162917, 172104.6003870964, 4377.846837, 1.4053122117383565, 1250, 688.0349736750305, 4219.523631, 54.51006, 0.012253, 98.137293, 173498.61047935486, 2823.600845, 2.012900676283651, 625, 499.24949924862216, 2507.650077, 116.097419, 0.046758, 198.711339, 174953.23023033142, 2049.423437, 2.9041809283231284, 312.5, 305.66858073737313, 1404.563424, 240.411372, 0.220222, 403.106828, 176512.37733078003, 2085.787542, 4.104015146811723, 156.25, 177.724022363326, 791.520599, 490.969141, 0.986068, 801.15067, 178361.05867433548, 3018.390016, 6.116022958120414, 78.125, 94.23719243218147, 408.296069, 1002.778072, 4.532792, 1601.546085
20000, 8, 2500, 169280.8681988716, 69878.037861, 170505.41173791885, 5962.89777, 1.3781895241903936, 1250, 733.0323151130515, 5544.149019, 53.758473, 0.012814, 98.378714, 171588.87701034546, 4734.771065, 1.7415158306089513, 625, 627.6184151217999, 4419.490974, 115.013308, 0.049392, 198.989341, 172985.25639867783, 2946.453159, 2.2949791631838283, 312.5, 425.5847447923856, 2300.580859, 237.984465, 0.217547, 399.159974, 174686.32938623428, 2659.055102, 3.3301863431584766, 156.25, 245.45283406389913, 1344.785756, 498.808537, 1.135998, 803.716967, 176519.05605649948, 3306.36269, 4.931177694437741, 78.125, 130.660521486025, 676.911167, 1003.708576, 4.925488, 1613.733307
20000, 8, 2500, 169917.06767320633, 63871.66772, 171135.21940803528, 4493.817138, 1.36991667956001, 1250, 748.9895693532721, 4337.41967, 52.680672, 0.01056, 98.015193, 172291.43848085403, 3661.536208, 1.8060331225719868, 625, 596.129914532059, 3346.205993, 115.405162, 0.05324, 198.746636, 173715.78629159927, 3168.00058, 2.497208785726292, 312.5, 373.59904978465886, 2530.523138, 236.373006, 0.210805, 399.397339, 175498.09429979324, 3329.145672, 3.9320416425212272, 156.25, 198.78101173150316, 2039.164197, 487.346925, 1.003961, 800.454526, 177466.80205488205, 3067.634051, 6.375693678225757, 78.125, 92.96559343380754, 444.095296, 1000.21433, 5.356144, 1603.057377
20000, 8, 2500, 169243.14323091507, 70882.666552, 170442.22429990768, 7084.411124, 1.3648270478587412, 1250, 739.2182526155588, 6925.269365, 54.583388, 0.0109, 98.598327, 171813.12590408325, 2891.950713, 1.9901001818486708, 625, 495.943356140598, 2570.967998, 116.873192, 0.045996, 198.892459, 173168.14041662216, 2345.04529, 2.6472290195288504, 312.5, 342.91393781822285, 1700.434605, 240.313969, 0.21913, 399.537611, 174960.08879423141, 2222.870226, 4.077112394235886, 156.25, 183.16339188003698, 886.050112, 500.140482, 1.005604, 820.391376, 176932.50011110306, 3006.09882, 6.612765736111623, 78.125, 86.40769099160097, 370.686642, 1012.169036, 5.705318, 1609.923129
20000, 8, 2500, 169692.76552248, 75700.957354, 170891.3148379326, 6158.616293, 1.3487289031442824, 1250, 787.8793530738066, 5996.559904, 54.599748, 0.010871, 98.368936, 172082.4618396759, 3592.497189, 1.763897539960287, 625, 618.319850481933, 3275.404943, 112.546677, 0.046006, 198.689549, 173456.77304029465, 2710.787839, 2.3608741129048703, 312.5, 404.88628804887924, 2059.631922, 239.880778, 0.251942, 402.395906, 175196.6284122467, 2435.671131, 3.552871883436242, 156.25, 228.68721816052596, 1149.358279, 480.785643, 1.00889, 799.913843, 177048.1805791855, 3147.666435, 5.482846701131566, 78.125, 115.20664178987252, 546.992836, 986.738574, 4.609926, 1603.255078
20000, 8, 2500, 168711.93984985352, 74963.485891, 169850.47092199326, 6263.660976, 1.337154447226861, 1250, 784.5830899273831, 6061.704867, 53.836578, 0.012483, 98.692613, 171111.1620411873, 3258.919719, 1.8396720661999995, 625, 571.3800727186765, 2944.92187, 110.448347, 0.049062, 198.466491, 172427.97980499268, 2693.34483, 2.4020812574391996, 312.5, 397.9031367682341, 2057.644669, 230.641348, 0.217788, 398.906999, 173946.85779619217, 2602.968237, 3.252452103156032, 156.25, 248.0914649882176, 1319.665706, 471.995926, 0.988802, 802.396234, 175872.52366924286, 3276.83897, 4.934094373478724, 78.125, 130.51526491181022, 683.384845, 971.713326, 4.549362, 1610.843013
20000, 8, 2500, 170804.54870128632, 72351.17919, 172049.65656614304, 6562.143057, 1.402854967870328, 1250, 699.5059863932545, 6401.279652, 54.536961, 0.0104, 98.569242, 173401.2152504921, 2852.038921, 2.0235720388882084, 625, 493.6661954195365, 2532.470506, 116.424582, 0.049903, 198.26914, 174832.22226715088, 2271.043174, 2.7851290385112466, 312.5, 332.2157149353414, 1627.572623, 239.408923, 0.216876, 399.242488, 176590.701921463, 2162.403947, 4.208662432988772, 156.25, 180.61565719781882, 856.585633, 494.613548, 1.046641, 799.802204, 178474.39511585236, 3034.566762, 6.365683752520405, 78.125, 92.27299002145753, 417.496586, 1004.651312, 4.59046, 1603.526285
