N_mu, N_sigma, GaussCount, PointsPerGauss, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
20000, 0, 8, 2500, 108711.13832458854, 521.2604469102866, 60086.531038625, 4692.962990749434, 109768.18063637614, 527.2926023323923, 4240.4757255, 915.433593378872, 1.3519862255454078, 0.063558296326424, 1250, 0, 692.3937296052748, 112.31687074210045, 4126.1990905625, 896.5760170569167, 22.6327084375, 0.4620478295782763, 0.0120876875, 0.0017179449466859377, 56.98265299999999, 19.69205228551622, 110895.38170996308, 522.3718658335424, 1936.4620665625, 293.5912197605099, 1.8340771168572474, 0.1234379887989571, 625, 0, 511.9057959020004, 77.2648844685575, 1783.0807620624998, 293.7058447625198, 49.1643203125, 0.9236601461460073, 0.04802125, 0.0026073660440183682, 101.63427831249997, 0.5307880513908921, 112150.1799376607, 531.2164521563251, 1360.431961375, 245.26427488952882, 2.537770769754342, 0.252215125064738, 312.5, 0, 322.0494729612397, 58.11839892420263, 1047.3217138124999, 246.2290432863419, 103.86727668750001, 2.610250063594211, 0.22151256250000004, 0.01870419038266809, 204.74026131249997, 2.442675385837671, 113611.36246170104, 517.6128744577599, 1187.1184445625, 182.09928200810768, 3.6692975378511457, 0.44686809294396496, 156.25, 0, 176.750417964605, 41.901422439607536, 559.723579625, 185.55294184142588, 212.16336875000002, 4.782318217480534, 1.0276258125, 0.06513145908105654, 409.36354543749997, 3.159054314771087, 115150.59626626968, 535.2761081438638, 1537.9848322500002, 111.34038808919883, 5.237873755761949, 0.6653653246555751, 78.125, 0, 90.11433619837136, 25.739770901430866, 275.08642175, 117.65998274981902, 437.646896125, 8.359830513277258, 5.183028875, 1.0028257512387109, 816.2838036250001, 2.6029551619140463
19998, 0, 9, 2222, 109109.54954880476, 893.9042644935524, 67357.7700066875, 1807.533962693038, 109984.25489297509, 919.2360146105705, 4605.7278507500005, 1024.4363162725897, 1.2738774591059192, 0.02975399650479065, 1249.875, 0, 652.858143563852, 54.7136923663609, 4469.111254875001, 988.4011453490646, 23.1072861875, 1.2626480062159162, 0.0128509375, 0.0038098691655480436, 78.394170875, 41.25037259685054, 111140.36313661933, 912.4779534132516, 1855.951433875, 194.36145331493026, 1.7514999651635628, 0.07519749996532653, 624.9375, 0, 485.06562604918116, 51.48413123736277, 1702.4518071874998, 194.51631677263669, 49.12752325, 1.112493324705114, 0.04908631250000001, 0.0022728927251068733, 101.9321984375, 1.811186185802068, 112384.02765862644, 914.6004313980158, 1327.0841085625002, 175.9578253205689, 2.3857339448910957, 0.1627124612539352, 312.46875, 0, 317.888532129045, 40.87709389014363, 1015.344919625, 177.55299167854446, 103.67332249999998, 2.300081271430018, 0.2194513125, 0.010974585685338824, 203.851534, 1.4006365777641534, 113810.61783960462, 920.7497965860845, 1171.66846775, 117.37658857757084, 3.407515809641421, 0.2910018085263473, 156.234375, 0, 178.37696414634533, 28.765318945612247, 544.5163354375, 120.45819509676778, 214.25813875, 4.051423885469134, 1.03240475, 0.060449570898497715, 407.8272275625, 1.7374507806869983, 115351.37192733586, 925.7169966510755, 1530.4688618750001, 78.80829567091322, 4.91930320237286, 0.4932235313524377, 78.1171875, 0, 91.25259082996844, 19.617553232901003, 266.082247, 81.37222889946842, 440.97315337500004, 7.267015498177282, 4.9217455, 0.45906700427960406, 815.2877321875001, 2.660694521108271
20000, 0, 10, 2000, 109364.53996050358, 653.2814322687036, 65591.66364775, 2917.958056856445, 110095.88406965137, 647.9137193383834, 3740.5386433125004, 610.3351423137873, 1.219938878623696, 0.023496302595529754, 1250, 0, 584.9948245745333, 45.310738611403856, 3632.4590889374995, 598.2620784175342, 22.98922175, 0.8664015885934119, 0.012576625, 0.001922506205289075, 50.536123, 0.30461297352686006, 111225.88990601897, 660.8799860443174, 1933.6503671250002, 294.63656086514555, 1.6580610167174805, 0.05299234194753866, 625, 0, 471.80457607042007, 31.356141727119187, 1779.3541064999997, 295.7508527167334, 49.047479374999995, 0.786451992582262, 0.049401875, 0.005978630412508787, 102.08631068749999, 1.977065977992411, 112497.00874683261, 700.4154208105451, 1295.2194200624997, 149.7151850313668, 2.3033635233953293, 0.10242999861768001, 312.5, 0, 301.6304592478045, 26.629797822806594, 983.3776374999998, 149.41812133820738, 104.72122524999999, 3.103340511057429, 0.24020249999999999, 0.05490799552888449, 203.68279212500002, 1.1417814326619125, 113936.67883756757, 721.5836405049099, 1126.9423583750001, 83.62219076590577, 3.3245475386744414, 0.20075013632288788, 156.25, 0, 167.48770249346964, 20.271193138823865, 499.7955633125, 85.0532531041189, 214.56699175, 2.9942164613059403, 1.0515275000000002, 0.12337265154502436, 408.121795125, 2.594861522647717, 115517.39013177156, 736.1953889710165, 1510.10238925, 54.74356764120329, 4.828610273450024, 0.3145501687713371, 78.125, 0, 84.31459620171881, 13.201526906142488, 240.99984993750002, 53.94467262574339, 441.45574062500015, 5.022067913593269, 4.868616749999999, 0.3313029051905334, 817.5880889375001, 4.241224310418736
19998, 0, 11, 1818, 109715.78483296931, 595.6995249600303, 68032.671824875, 1722.7361557835766, 110273.34047596157, 601.5684186927119, 4219.502547187501, 1108.0512564007845, 1.1544167946303785, 0.02643950852154989, 1249.875, 0, 554.8483112215068, 55.22199491273274, 4127.419016500001, 1120.1851571165328, 23.473016875, 1.3998049622021842, 0.013978, 0.005654144055469405, 50.51370762499999, 0.5813140998029674, 111411.16629734635, 621.9329844289653, 1755.8939727500003, 143.8077735053336, 1.566844268975559, 0.08790136030078623, 624.9375, 0, 464.53405965710584, 57.87039328092039, 1600.55569725, 143.84492380517037, 49.1533485, 1.6408478480209547, 0.05248400000000001, 0.013516846784660981, 101.46017550000002, 0.4882389784052974, 112659.48408819735, 610.2598298262104, 1268.8036419375, 117.26228340655902, 2.1507182042417092, 0.12735031172115535, 312.46875, 0, 305.36530992260566, 31.284436584881586, 958.1106728749999, 118.28431589177745, 102.29623668749998, 1.6368817918854406, 0.21809412500000003, 0.004347124751991255, 203.90059543750002, 1.2288957882295175, 114078.14999373257, 615.4678426208463, 1169.9814304375, 97.24917035896793, 3.040088029737763, 0.23211016351986558, 156.234375, 0, 177.3135608984836, 22.535486304584403, 540.5297241875, 92.78473016081159, 214.451412875, 6.2435185252343555, 1.1340270625, 0.2264650470095962, 407.84301593750007, 2.2405925821693797, 115679.87268991768, 626.9983059180771, 1539.1826413125, 60.083017407557726, 4.4638590091873365, 0.38130221022413513, 78.1171875, 0, 91.47462327037921, 14.616706856181487, 269.87733375, 60.35213635320016, 441.82593606250003, 9.252510354834268, 5.916159749999999, 1.3697675739815085, 815.8019833750001, 3.4386843125073288
19992, 0, 12, 1666, 110035.34501492977, 526.3030704869477, 66116.688178875, 2580.372506264698, 110473.94763144851, 541.1596777510376, 3592.1864266249995, 916.456234871171, 1.1187729260004131, 0.01601887550264906, 1249.5, 0, 481.93711431917404, 36.865261822037695, 3502.2364644374998, 918.2175540230921, 22.8012081875, 0.3664394919456718, 0.011938624999999996, 0.0015683817645506465, 50.312681, 0.13831688278098944, 111663.90041133761, 557.4729261974908, 1588.5320811250003, 106.55337336954427, 1.5574029293682967, 0.0536218820458908, 624.75, 0, 417.03234527918306, 40.35743066269495, 1436.1603950625, 106.69195270423003, 48.52614468749999, 0.7452019198068672, 0.04874075000000001, 0.00449167902209185, 101.2608706875, 0.5276091939127056, 112915.16852509975, 566.1901962493813, 1211.3793029375, 171.87620105591674, 2.144125058646886, 0.0866509544310559, 312.375, 0, 278.68072500037266, 24.528698067603635, 900.1580734375, 172.88319437453617, 102.60889806249999, 1.0646313562415917, 0.23678618749999997, 0.06085398965476581, 204.16340524999998, 2.444689908916787, 114344.51843091846, 565.2895431715336, 1102.2384545624998, 50.93327415974521, 3.0440578649800027, 0.1351137680214057, 156.1875, 0, 161.36097850016102, 14.649880288608875, 475.7392896875, 51.36806902305021, 214.4873515625, 6.4985711730762885, 1.0808011250000003, 0.1790621159866301, 406.92809674999995, 1.572702487288387, 115926.64338386059, 591.0673759613686, 1498.9885386249998, 37.17409313924587, 4.400553430936739, 0.2330760055965651, 78.09375, 0, 84.26923412216782, 10.11302768219123, 237.4030248125, 40.75319878681838, 437.3712518749999, 6.555433163984325, 5.2095228125, 0.8109872078891117, 814.94804675, 2.605960932779201
19994, 0, 13, 1538, 110321.73257280886, 400.893548535285, 69396.24335706251, 2946.1018995296954, 110663.81827495992, 412.4337418526392, 3501.3393628125004, 628.2238891444746, 1.0898115988247907, 0.007224903160376396, 1249.625, 0, 396.6831435210208, 19.606262297573167, 3411.5186978125002, 624.4337158196545, 23.20706925, 0.9796861441361268, 0.012066374999999999, 0.0018784988313477868, 50.74415931250001, 1.0359066099291796, 111827.91057352722, 429.2469000119864, 1716.1197025625002, 266.4574717909391, 1.4993314466537324, 0.0460852714246455, 624.8125, 0, 396.3212812176531, 35.126288111582646, 1544.0735805000004, 246.3489723081885, 48.55005825, 0.6477837480555819, 0.051670562499999996, 0.009890525365019482, 105.34425693749999, 14.237229023525641, 113070.07517938316, 461.9738334717434, 1169.64018325, 112.28703869992738, 2.051773688809583, 0.10842949650929008, 312.40625, 0, 275.8170017695944, 29.463399097762785, 848.1028494374999, 98.42389644430067, 102.13440724999998, 1.9281940542462084, 0.21936474999999997, 0.005320890626812394, 203.2123365, 0.5614796617547684, 114484.25667224824, 484.43351236553065, 1109.9607051250002, 74.57983328856692, 2.894425886710817, 0.18519850834929427, 156.203125, 0, 164.07692115934148, 19.380745808807653, 476.64457775000005, 62.356345110016974, 211.75292556249997, 4.351747833553662, 1.0354754375, 0.08961930283773188, 407.24590925, 2.427238993280988, 116054.58897091448, 499.72226013426024, 1510.7441308749999, 38.63052777703551, 4.139987066082814, 0.29990938478864704, 78.1015625, 0, 88.90863195973454, 12.662680637193976, 250.44006575000003, 46.09051738042475, 437.243730375, 9.26736573615907, 4.8354639375, 0.41493020254051, 815.4514242500001, 2.9821296561527766
19992, 0, 14, 1428, 110579.096942842, 469.949536611649, 68634.99453949998, 2457.901147333311, 110794.69193422794, 465.3406581397704, 3397.8794624374996, 835.4656661096307, 1.0510685648220066, 0.006208485867680346, 1249.5, 0, 334.4660268950962, 18.5160481882272, 3262.9737558125, 782.696276385295, 38.633578500000006, 61.550253949998314, 0.012268062500000001, 0.0021120238063510907, 50.39559531250001, 0.33298740763967366, 111929.55590289831, 469.4788050489045, 1852.5379070625, 645.011172336876, 1.4258464607773607, 0.054793216993447136, 624.75, 0, 395.8640148434656, 42.21399762830382, 1698.869865875, 646.4265792954186, 48.09711899999999, 0.4040532152430543, 0.0480155, 0.003828114516312175, 101.48106006249999, 0.779163021145484, 113164.93861804903, 463.4645994048507, 1143.152924625, 106.41967754636639, 1.942174483813929, 0.1328902055047865, 312.375, 0, 277.3871266519018, 36.949357432529325, 835.2803331875001, 106.84282531990112, 101.08239237500001, 1.1227098159650315, 0.2206721875, 0.008460822412883026, 202.949740875, 0.5861489365641064, 114565.45901606977, 452.8603296657903, 1131.0950806874998, 122.97865360714145, 2.714805206841664, 0.2606340609893661, 156.1875, 0, 168.5404727148901, 27.258181727765585, 509.2668821875, 125.17650970580394, 211.47378081249997, 4.318226252514844, 1.0752062500000001, 0.16636861145717213, 407.079371375, 1.470208706490809, 116161.26190079749, 488.9056381454023, 1527.4039338125003, 68.96094081885582, 3.954304572496098, 0.39024706186028324, 78.09375, 0, 88.81011754588013, 16.043575731993272, 252.10565400000002, 58.192123010606174, 436.78880343749995, 7.289062692867855, 5.1462185, 0.8186359951632197, 830.5872948125001, 61.655667515888396
19995, 0, 15, 1333, 110960.57481631637, 573.6248081737261, 67516.1062015625, 3520.995540827831, 111073.62213796377, 571.275433654067, 3340.21182825, 1049.8884682772205, 1.0231558385747574, 0.004757440670570952, 1249.6875, 0, 234.17219304118996, 18.3968095068051, 3248.7445828124996, 1055.6855654885364, 22.844125624999997, 0.2889614863824576, 0.0125585, 0.00190866062331678, 50.55466000000001, 0.7281162297717305, 112276.01244303584, 591.11534511422, 1416.6567956874997, 78.56793228428775, 1.4232164787299786, 0.04557709194577967, 624.84375, 0, 348.7353163699263, 36.03799014311014, 1262.4974990625, 78.83327151840373, 47.701645125, 0.4759000529822252, 0.047860375000000004, 0.0018986638023554877, 101.4291176875, 0.6671816629805303, 113525.03608238697, 595.8782077776059, 1077.7688009375, 68.65894220586881, 1.9585599756643666, 0.08352269575618575, 312.421875, 0, 253.14989089932348, 21.812716540930364, 770.3858411250001, 68.04156052548208, 101.4864685, 1.9028210629879911, 0.223736625, 0.026524959370550872, 203.41369393749997, 1.2118033612264345, 114956.4841131419, 617.0579402265879, 1059.9301610625, 58.553681550960526, 2.7786738567245997, 0.13479758092855254, 156.2109375, 0, 152.6819445109949, 12.866601839649245, 437.782835625, 57.41695671526185, 210.695972, 2.9233849269708294, 1.075578, 0.19979562012685614, 407.4558835, 2.3659847173554414, 116513.95406779647, 638.2550313195677, 1491.694652125, 52.97464224914337, 3.9577396755331624, 0.2641797258011449, 78.10546875, 0, 83.32128293195575, 10.81841201277946, 232.74833850000002, 48.813139160846404, 435.8949138125, 4.845246749260635, 5.0734653125, 0.620415166881996, 814.561335, 2.604616112796126
20000, 0, 16, 1250, 111183.00763054192, 358.9615397329922, 65507.000003312496, 3721.829509708163, 111209.15359850228, 359.77359301947047, 3072.937748, 586.8734340447853, 1, 0, 1250, 0, 0, 0, 2974.296637625, 575.9967455511867, 22.1971365625, 0.5105712963104383, 0.012970500000000003, 0.0024858320538604377, 65.351815875, 38.274587461528085, 112366.8494888097, 368.87762693373423, 1575.6782168749999, 265.39521673855666, 1.3624079942042446, 0.028050955635478048, 625, 0, 348.7125936728644, 22.683962841482415, 1423.5843055, 266.4183771814227, 48.29239756249999, 1.1702685542082303, 0.05197231249999999, 0.009443709796199995, 101.37634737500001, 0.29045429290958785, 113604.91934628785, 391.71195732336037, 1089.53616275, 49.36626814671403, 1.8557802515928905, 0.06257383253885843, 312.5, 0, 260.64527642132174, 17.50102776990016, 782.1262402499999, 48.528452105578594, 101.11787293749998, 1.1336690154127023, 0.22260681249999997, 0.016410807293589912, 203.36366, 1.3526903606830663, 115016.47148621082, 401.44080252972117, 1085.8546774375002, 42.88464950893372, 2.5965630078096162, 0.12594526220991004, 156.25, 0, 159.89598600655256, 12.596394992411623, 460.54992062499997, 42.903797478409395, 213.62117943749996, 5.7563438866009715, 1.0632632499999999, 0.20218890949354149, 407.4276759375, 1.4182787401039885, 116601.00618097186, 380.24303592977947, 1509.1610930625, 28.00646482338039, 3.7349368496818136, 0.17164598140203807, 78.125, 0, 86.89336673719562, 8.302440146591028, 245.00631737499998, 30.337702005502308, 439.00205725, 7.518098642466316, 5.621756375, 1.4442975142156855, 815.1385828125001, 2.734073436451991
19992, 0, 17, 1176, 111276.64681690931, 539.762438727066, 68670.837111875, 1763.2144573292912, 111356.96009844542, 530.8409764504926, 2884.60249975, 617.5687450564062, 1.0104484797421789, 0.010052489682481026, 1249.5, 0, 246.19352423076504, 38.65237947831524, 2720.9312648125, 508.49265088023526, 22.35147325, 0.6537720203112187, 0.012819062500000002, 0.0034073103481476043, 50.3708915, 0.20326748704908537, 112322.21225136518, 511.96843881697293, 1504.247642625, 238.0027020110099, 1.3048136695553654, 0.03688468361294172, 624.75, 0, 351.2087385520656, 30.994582626110592, 1352.9679070625, 238.0983981503237, 47.744470875000005, 0.36349014254634165, 0.048355625, 0.0018823576597913052, 101.197439375, 0.3415378703675967, 113560.1311288774, 518.4861828526234, 1081.73494875, 64.25017152560332, 1.7850685839033684, 0.07775431681806164, 312.375, 0, 258.44196057056064, 21.25907638973902, 774.374422125, 65.00837388143027, 100.2560170625, 1.2601143459966462, 0.22892862500000005, 0.03375081478993323, 203.29425949999998, 0.9557274724123144, 114990.53480288386, 530.7935917454864, 1072.32863, 48.47836298016262, 2.5148771740667404, 0.11832588207953099, 156.1875, 0, 157.52780478793372, 13.252413398402322, 450.84298225, 49.306491813066394, 209.5368395625, 2.992486221370409, 1.0424486874999999, 0.11244113180500204, 407.46319462499997, 1.9294240241181064, 116578.70696467161, 535.0211684806459, 1503.4926363124998, 43.47336552194857, 3.628266014076596, 0.24680838979751563, 78.09375, 0, 86.92761619701601, 10.82821254111344, 245.36244568749999, 42.77615873681879, 435.3174000625, 6.416282639967532, 4.8687480625, 0.4766133421465019, 814.56061075, 2.0966041506759288
