N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
500, 500, 445.1543628871441, 20.822079, 495.4714946746826, 4.278707, 2.1195780881154698, 31.25, 13.736356867816154, 4.092107, 0.073798, 0.011191, 0.088065, 496.3892867267132, 0.677078, 2.2053629002439927, 15.625, 6.617920745974524, 0.233036, 0.16561, 0.053911, 0.207569, 492.62776124477386, 0.960509, 2.2368237289561206, 7.8125, 3.639518340385167, 0.088375, 0.296466, 0.234419, 0.317976, 474.35399529337883, 2.499102, 1.8151172596215133, 3.90625, 2.3797239204369904, 0.051867, 0.693319, 1.147179, 0.571461, 452.59373304247856, 9.492845, 1.1270231179834618, 1.953125, 0.9508168774138372, 0.026569, 2.441274, 5.838758, 1.108296
500, 500, 441.69721284508705, 19.946609, 494.15291276574135, 3.497683, 2.047971471009838, 31.25, 8.692669325356855, 3.306485, 0.075412, 0.012583, 0.086933, 496.7010372579098, 1.294506, 2.1876279690321314, 15.625, 7.06554138053129, 0.238076, 0.129803, 0.713708, 0.197249, 488.3402041196823, 0.967953, 1.99045080744259, 7.8125, 3.7578043788893534, 0.098284, 0.316934, 0.235571, 0.294301, 468.3639698922634, 2.43918, 1.6202596990915559, 3.90625, 2.0783012143334756, 0.046887, 0.697827, 1.096635, 0.563987, 450.03376057744026, 9.603191, 1.0758374633663927, 1.953125, 1.0742684647586933, 0.028063, 2.313163, 6.109786, 1.102406
500, 500, 439.5971150100231, 22.73344, 485.38756945729256, 1.111873, 1.992948312227689, 31.25, 10.755812382149477, 0.839974, 0.059702, 0.009067, 0.182653, 488.10646203160286, 0.537948, 2.0259604746327358, 15.625, 6.4165313838552995, 0.186339, 0.132779, 0.044583, 0.160891, 482.8181309700012, 0.938819, 1.8871337320006019, 7.8125, 4.2788542566906855, 0.097543, 0.289963, 0.233788, 0.297197, 464.359530210495, 2.501997, 1.6363091989842729, 3.90625, 2.4857012969180348, 0.052479, 0.720079, 1.126631, 0.568115, 446.9635905325413, 9.553918, 1.159267289983656, 1.953125, 1.1849273118529253, 0.035537, 2.238243, 6.132118, 1.098407
500, 500, 444.29458260536194, 20.21433, 487.8747305870056, 5.346496, 1.8650638970834557, 31.25, 29.371542349696245, 5.175967, 0.067296, 0.011702, 0.077896, 494.22688937187195, 0.609111, 2.057843877635663, 15.625, 11.575161985907584, 0.280245, 0.12284, 0.044533, 0.148418, 492.68966937065125, 0.893514, 2.1370803858507443, 7.8125, 5.043172984342298, 0.107261, 0.273462, 0.20804, 0.285274, 469.6480903625488, 2.417108, 1.6211860704462817, 3.90625, 2.4667713589832356, 0.05308, 0.64063, 1.135207, 0.557023, 451.4250710606575, 9.416872, 1.1449410240757132, 1.953125, 1.1309521361998482, 0.028182, 2.481048, 5.770531, 1.087598
500, 500, 439.9707182645798, 20.979103, 490.5394057035446, 0.631614, 2.004873235491761, 31.25, 13.315873985585775, 0.459991, 0.058209, 0.01065, 0.089046, 494.25330770015717, 0.532968, 2.076128875497851, 15.625, 6.338128667043609, 0.185898, 0.132067, 0.04301, 0.159098, 488.6517808139324, 2.350785, 2.1148645970360054, 7.8125, 4.038389994787527, 0.093064, 0.283501, 1.654179, 0.297618, 467.653346568346, 2.66319, 1.5867967189284744, 3.90625, 2.1448976519871525, 0.060413, 0.710942, 1.130187, 0.719087, 446.01412576436996, 9.575359, 1.0711538112382017, 1.953125, 1.0372693644251718, 0.027842, 2.153414, 6.2399, 1.104599
500, 500, 437.9039273262024, 21.940324, 490.73769214749336, 0.61353, 2.2562175176185573, 31.25, 12.597122687344122, 0.436708, 0.062036, 0.01052, 0.087514, 492.07625046372414, 0.5392, 2.295939635573393, 15.625, 7.069962871189636, 0.193232, 0.131045, 0.044774, 0.157565, 486.70429012179375, 0.90724, 2.1116235567590613, 7.8125, 3.6438089617871023, 0.088627, 0.285335, 0.217186, 0.296445, 467.0027856528759, 2.376081, 1.6953665239007556, 3.90625, 2.213020772044402, 0.049633, 0.614922, 1.098709, 0.575117, 446.10110276937485, 8.747638, 1.0800949481856028, 1.953125, 1.0778985269379489, 0.028904, 1.946516, 5.612956, 1.097446
500, 500, 441.0131625235081, 19.464145, 489.81847405433655, 5.22018, 2.0270638131659813, 31.25, 22.65915929596683, 5.047256, 0.068548, 0.011492, 0.080551, 492.40409511327744, 0.637154, 1.9789225677254678, 15.625, 8.283077628514658, 0.260568, 0.127258, 0.044313, 0.189325, 487.34772273898125, 0.937456, 2.0423169698029287, 7.8125, 4.853719578838481, 0.106249, 0.278492, 0.245119, 0.288441, 471.60941940546036, 2.479976, 1.792740828653621, 3.90625, 2.13394258064738, 0.04793, 0.711753, 1.127472, 0.558446, 447.9990319907665, 9.258966, 1.1008825813821876, 1.953125, 1.1029744939820685, 0.028714, 2.40253, 5.650547, 1.089501
500, 500, 442.14100033044815, 22.808541, 486.5981220304966, 0.738444, 1.8858307384793438, 31.25, 15.380588415272024, 0.481703, 0.056125, 0.009187, 0.173545, 488.1483027935028, 0.550331, 2.023961723096756, 15.625, 8.069038046756255, 0.209543, 0.12818, 0.043832, 0.155892, 483.0003881454468, 0.914754, 1.8797258714739573, 7.8125, 4.344087217126286, 0.096921, 0.279072, 0.21883, 0.299611, 465.02762600779533, 2.404775, 1.516073977976442, 3.90625, 2.4636022279377814, 0.051767, 0.653113, 1.103277, 0.561151, 448.0128592848778, 9.61859, 1.087162136639989, 1.953125, 1.0559309799295595, 0.028053, 2.187328, 6.255901, 1.098928
500, 500, 436.9628019928932, 21.200718, 479.6425743699074, 0.618759, 1.9803415934929423, 31.25, 14.139925742379273, 0.453871, 0.057407, 0.009178, 0.086141, 490.1933144927025, 0.548627, 2.1945923819793745, 15.625, 7.728801653555355, 0.204222, 0.130374, 0.044543, 0.156894, 490.23561972379684, 0.901018, 2.2997873006191623, 7.8125, 3.8400642898264086, 0.092854, 0.282128, 0.2136, 0.293059, 468.81180438399315, 2.405958, 1.692151943908791, 3.90625, 2.213020772044402, 0.048261, 0.661009, 1.09447, 0.564648, 444.6884712576866, 9.096211, 1.115123853769224, 1.953125, 1.0778985269379489, 0.028043, 1.98602, 5.931593, 1.094721
500, 500, 442.9938777089119, 23.500386, 497.001910507679, 0.643395, 2.0805063082221884, 31.25, 11.787175234126284, 0.454942, 0.059271, 0.009278, 0.10655, 501.41725367307663, 0.530794, 2.2178929349189977, 15.625, 6.323319934970869, 0.185939, 0.129753, 0.045966, 0.156223, 488.9645726084709, 0.915355, 1.9123021423987232, 7.8125, 4.716576486181476, 0.104395, 0.281688, 0.215644, 0.29368, 470.0206806063652, 2.464597, 1.6060535905969782, 3.90625, 2.3830046029120466, 0.051125, 0.621023, 1.18987, 0.563125, 450.44160056114197, 9.30328, 1.0800420070703833, 1.953125, 1.1100350149319616, 0.028523, 2.277907, 5.82873, 1.09419
