N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 36232.45768529177, 62133.109875, 36803.39841979742, 3437.008769, 1.2311875154244394, 1250, 638.9550062406586, 3418.645706, 4.991572, 0.01071, 5.792933, 37313.4779894948, 2128.234663, 1.4559882561054753, 625, 535.208487414017, 2104.465842, 11.136234, 0.047168, 11.191106, 37944.073817670345, 678.80553, 1.801888641868304, 312.5, 305.6075915287446, 631.537785, 24.244581, 0.214412, 22.384036, 38671.0673815608, 432.965093, 2.2675781277965616, 156.25, 180.83162921624083, 335.237061, 50.917673, 0.996277, 44.69784, 39381.71151226759, 356.812793, 2.7445294620055223, 78.125, 98.32817341687986, 157.105304, 105.011597, 5.234617, 88.909791
20000, 8, 2500, 35999.45313709974, 63948.555633, 36622.26117771864, 2547.058752, 1.2699971174030131, 1250, 467.8072519745713, 2236.807411, 4.924035, 0.012143, 6.067968, 37163.734625041485, 1169.50077, 1.5281334805350353, 625, 445.7636004655382, 1145.937044, 11.349292, 0.045766, 11.825685, 37795.42486822605, 547.597535, 1.8811307993819129, 312.5, 268.0613269384452, 500.061326, 24.480153, 0.217398, 22.525581, 38513.75962173939, 328.742563, 2.3863820886692433, 156.25, 138.4851075025759, 230.637526, 52.077316, 0.991788, 44.647115, 39254.95669347048, 301.273561, 2.9084636873225564, 78.125, 70.92375968249286, 99.264801, 107.152018, 4.533764, 89.148459
20000, 8, 2500, 36290.43419218063, 67117.337312, 36849.451781868935, 2215.912245, 1.2178911917198005, 1250, 685.5575285853114, 2202.456536, 4.932611, 0.009587, 5.789947, 37542.565007567406, 808.774455, 1.5784371135374091, 625, 380.33751458408625, 785.272836, 11.383246, 0.046016, 11.304799, 38115.84332334995, 493.582269, 1.9017189992222514, 312.5, 249.92755200257534, 445.441486, 24.856739, 0.216756, 22.536803, 38850.40910965204, 302.45833, 2.3947725336230774, 156.25, 131.91977912731662, 203.531453, 52.80026, 0.992429, 44.781958, 39539.10002756119, 293.955811, 2.922481286436512, 78.125, 67.71533938111807, 92.295203, 107.74005, 4.511221, 89.035316
20000, 8, 2500, 36057.261050760746, 60991.568307, 36648.62572258711, 4249.60793, 1.24486504672993, 1250, 600.9211678747887, 4229.648806, 4.917032, 0.012884, 5.697044, 37186.62006765604, 1640.988755, 1.4887691512708183, 625, 517.7034624184002, 1618.173782, 11.185776, 0.048831, 11.280634, 37857.25431460142, 738.491592, 1.873998659606424, 312.5, 298.1887510453739, 691.223777, 24.254561, 0.220163, 22.469416, 38503.73069089651, 373.996706, 2.2822106978494574, 156.25, 167.85498763813962, 276.120767, 51.564044, 0.993141, 44.748856, 39254.8391135335, 344.910294, 2.8171009959823117, 78.125, 89.87139248670847, 138.605375, 112.184536, 4.603354, 88.88254
20000, 8, 2500, 36409.31122022867, 60524.078743, 36930.632388830185, 4617.085984, 1.1948168731884838, 1250, 746.5195074477291, 4597.094449, 4.910621, 0.011311, 5.685993, 37588.00880151987, 1744.870145, 1.5179037768720272, 625, 476.5401347210957, 1722.001972, 11.270515, 0.046678, 11.238915, 38239.64914435148, 512.992382, 1.89419395965863, 312.5, 268.41205496400494, 460.059043, 24.578818, 0.21913, 27.805433, 38950.416523218155, 326.640986, 2.364667432144935, 156.25, 138.41141119864358, 227.911068, 52.579667, 1.004502, 44.731785, 39670.84640741348, 302.289614, 2.9109979985974, 78.125, 72.74167692939172, 99.603806, 108.596504, 4.587124, 88.881528
20000, 8, 2500, 36368.04050672054, 67482.251874, 36997.62204653025, 1569.061851, 1.2688341950912883, 1250, 461.6257954230894, 1556.47487, 5.107158, 0.013786, 6.054813, 37506.85561281443, 1027.470159, 1.511100050737826, 625, 472.1476199241081, 1004.281294, 11.0544, 0.046026, 11.245429, 38137.92982327938, 642.380949, 1.86098381876358, 312.5, 301.0048276190932, 595.065976, 24.614685, 0.212629, 22.148825, 38850.8879827261, 415.860347, 2.2965707308952754, 156.25, 173.82026456946843, 318.234958, 51.548395, 0.996637, 44.712498, 39577.075287759304, 359.231154, 2.7953653406643935, 78.125, 98.49444781306204, 159.973127, 105.455839, 4.596953, 88.790978
20000, 8, 2500, 36176.86022347212, 60511.251922, 36799.51632064581, 4120.600506, 1.24910246450351, 1250, 570.4398522193203, 4107.783985, 4.943331, 0.011602, 6.479268, 37362.82085990906, 979.65604, 1.5325596670457189, 625, 430.6935540497443, 956.700352, 11.359221, 0.046086, 11.228416, 37997.49106955528, 693.6865, 1.8963987567645952, 312.5, 274.4124974377078, 646.631533, 24.086697, 0.217858, 22.449219, 38723.576464772224, 363.627069, 2.428666684665222, 156.25, 135.9743771818794, 265.263056, 52.412154, 1.005223, 44.620286, 39368.80257970095, 309.800246, 2.8976700694964843, 78.125, 77.26441006375445, 108.169162, 107.797006, 4.513075, 88.96259
20000, 8, 2500, 36094.15038359165, 63772.341429, 36740.280938863754, 2846.513035, 1.2764072794291703, 1250, 482.73206854320335, 2828.594424, 4.902014, 0.01046, 6.100028, 37280.32986575365, 1364.653505, 1.5348526495723442, 625, 415.9011300778107, 1340.362196, 11.789628, 0.050986, 11.248414, 37995.93390482664, 459.997127, 1.9709871039435998, 312.5, 223.01674544751117, 411.140815, 25.469157, 0.217287, 22.472953, 38676.33273589611, 274.766711, 2.4637305921336683, 156.25, 111.68342535936118, 175.012262, 52.972904, 1.130167, 44.703391, 39414.35260951519, 296.848771, 3.0252993190916446, 78.125, 66.94033023895236, 93.459244, 108.979591, 4.512644, 89.336912
20000, 8, 2500, 36657.42841857672, 66460.434647, 37248.81973350048, 2485.303284, 1.2323536326974882, 1250, 673.4469169875232, 2467.091555, 5.197829, 0.009908, 7.697591, 37802.9076513052, 1044.067924, 1.4979105997179014, 625, 484.1879154832347, 1021.080558, 10.978939, 0.048541, 11.243825, 38464.32480764389, 667.893988, 1.8466349363059846, 312.5, 315.8872425407522, 620.89194, 24.344288, 0.21877, 22.112197, 39168.64399653673, 394.579699, 2.2968676840117848, 156.25, 172.23426089196076, 297.989789, 50.594899, 0.97719, 44.652235, 39912.50169044733, 337.454345, 2.840318804045461, 78.125, 90.62012917944887, 137.850862, 105.501135, 4.566455, 89.109885
20000, 8, 2500, 36147.200758337975, 62352.075735, 36725.252762794495, 3408.587461, 1.227208232636551, 1250, 644.6598909502592, 3389.428448, 4.902294, 0.010871, 5.796951, 37350.92835879326, 1316.671122, 1.5261209212811895, 625, 448.8924564970991, 1293.968137, 11.152885, 0.046437, 11.207898, 37982.619127869606, 562.688036, 1.899942932998788, 312.5, 261.75853615498386, 515.009742, 24.721465, 0.213611, 22.416898, 38699.91518384218, 305.074352, 2.405825992046429, 156.25, 126.40244509106618, 195.066414, 63.380703, 1.205218, 44.718871, 39453.24471926689, 296.0311, 2.9397464931052206, 78.125, 67.2796751441325, 93.470956, 107.845287, 4.597824, 89.381886
