N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 5162.664218809456, 64722.661946, 5258.185254517943, 2394.385244, 1.0839505519049886, 1250, 535.3617935564696, 2390.014867, 1.14248, 0.009739, 1.965852, 5336.935444004834, 763.917486, 1.1563260865766, 625, 376.6419884983617, 757.680101, 2.659342, 0.044664, 3.150282, 5406.24977023527, 449.201147, 1.2325332406156266, 312.5, 259.3554510705337, 437.227787, 5.444049, 0.212107, 6.123381, 5488.863606099039, 383.469348, 1.3034959740433354, 156.25, 218.97495575978547, 358.870295, 11.391761, 1.001065, 11.938445, 5578.886719215661, 263.160255, 1.39086553579616, 78.125, 129.01728929682255, 211.287799, 24.171242, 4.436842, 23.013873
20000, 8, 2500, 5250.111167445779, 63298.268059, 5366.8276694230735, 2785.078033, 1.1045104428121875, 1250, 542.4445824229421, 2780.305914, 1.168629, 0.012854, 1.887256, 5448.083241857588, 692.332491, 1.1739939931457612, 625, 333.65907001009276, 686.349121, 2.566017, 0.046567, 3.182452, 5524.1842615529895, 471.730222, 1.2504975649210919, 312.5, 287.1566427927447, 459.584239, 5.52451, 0.21885, 6.193142, 5617.95089302212, 424.137705, 1.326719083296153, 156.25, 225.15071341214977, 399.370776, 11.57256, 1.009711, 11.948334, 5698.7647282630205, 325.897695, 1.408401604499816, 78.125, 141.65056587426682, 273.560639, 24.11707, 4.548802, 23.034472
20000, 8, 2500, 5466.920809457079, 61032.108337, 5592.591543650255, 5593.045628, 1.1018511339915353, 1250, 699.5947040965933, 5587.652525, 1.829487, 0.02139, 1.938181, 5692.072117704898, 879.691332, 1.1910107255967375, 625, 464.5470239921896, 873.080227, 2.47151, 0.049132, 3.879458, 5743.949821883813, 744.920087, 1.2367573294139365, 312.5, 376.1742864019283, 732.847279, 5.410536, 0.215664, 6.148408, 5818.756367972121, 463.255145, 1.3037964181030028, 156.25, 242.42324816320732, 438.991681, 11.07641, 0.983222, 11.896135, 5939.237006124109, 313.653036, 1.4018120526443008, 78.125, 144.91861940413315, 262.574388, 23.164836, 4.53715, 22.845708
20000, 8, 2500, 5478.963344921358, 62954.711923, 5585.495852579363, 3173.356089, 1.0891792629290784, 1250, 468.52494597406445, 3168.290009, 1.148101, 0.011492, 1.913815, 5664.059572097845, 660.543939, 1.160418720927235, 625, 305.47534679577666, 654.663904, 2.470158, 0.049031, 3.174647, 5744.403084558435, 395.018533, 1.2402293724143882, 312.5, 242.26922008377375, 383.032359, 5.39137, 0.223008, 6.158327, 5822.8863077880815, 409.114059, 1.2989491957182604, 156.25, 222.507443695711, 384.360176, 11.518469, 0.979846, 11.956008, 5939.992061273195, 283.294193, 1.3872871112254281, 78.125, 136.1254304400908, 231.414584, 23.651828, 4.506332, 23.421387
20000, 8, 2500, 5450.348874580115, 60881.98435, 5554.69427299127, 5367.359776, 1.0890074745918186, 1250, 473.22378427124727, 5219.556998, 1.149684, 0.012473, 144.84114, 5631.405314691365, 1120.848297, 1.152946772206906, 625, 483.66278283531386, 1115.04751, 2.418761, 0.04805, 3.151343, 5708.4629244841635, 525.459176, 1.2333825516335577, 312.5, 290.53081807271326, 513.236729, 5.373407, 0.221625, 6.125425, 5789.953774150461, 474.759828, 1.2955816999237548, 156.25, 237.35851048572073, 450.224765, 11.331529, 1.006666, 11.971837, 5897.623144246638, 345.893474, 1.3818193095839821, 78.125, 154.35288303105972, 294.248454, 23.777574, 4.554012, 22.974249
20000, 8, 2500, 5183.398265093565, 64860.244919, 5274.379924222827, 2904.034202, 1.074125709921622, 1250, 745.2603571906934, 2899.18608, 1.349699, 0.013325, 1.965282, 5347.245315030217, 871.030186, 1.1464310241335818, 625, 430.9388732755494, 865.214732, 2.446934, 0.046216, 3.118232, 5432.6683659516275, 416.26718, 1.2395838869794022, 312.5, 254.50785842484314, 404.327683, 5.395798, 0.210655, 6.062858, 5526.91899612546, 451.585384, 1.3105485367906808, 156.25, 237.81305026217547, 427.324013, 11.189662, 1.004983, 11.835913, 5616.12788663432, 327.059712, 1.3941869185289217, 78.125, 148.69988651643283, 275.869695, 23.54624, 4.525708, 22.855216
20000, 8, 2500, 5441.27486231178, 63601.327149, 5565.327104952186, 3121.153896, 1.0993357392391945, 1250, 492.08777164241747, 3115.97791, 1.308311, 0.013956, 1.834016, 5633.068136155605, 910.942787, 1.1596009656319535, 625, 416.0709074184351, 905.119979, 2.490315, 0.04796, 3.092404, 5711.753180474043, 534.946298, 1.2413113412254717, 312.5, 287.65436073524074, 522.848466, 5.480006, 0.216185, 6.092363, 5800.52574447915, 451.800447, 1.306369319265258, 156.25, 238.46848586343648, 427.569473, 11.119671, 1.00342, 11.860209, 5900.783310491592, 262.628168, 1.398376984547346, 78.125, 128.7991411073847, 210.732689, 24.087885, 4.564551, 22.935706
20000, 8, 2500, 4968.804872089997, 62219.715558, 5063.437858054414, 3443.836258, 1.0853352482328105, 1250, 620.9400132057847, 3440.523501, 1.150435, 0.010159, 1.634062, 5129.1127153057605, 1051.293194, 1.1471605865523988, 625, 519.522918166273, 1045.394514, 2.491237, 0.046497, 3.089618, 5211.480837548152, 590.784204, 1.23354130308089, 312.5, 336.62595153968743, 579.036355, 5.25749, 0.216395, 6.075121, 5287.759898098186, 364.374927, 1.3056468213420074, 156.25, 212.1027905285548, 340.013439, 11.253001, 0.991036, 11.832826, 5375.867180360481, 259.317355, 1.3817557649633256, 78.125, 128.17523405478923, 207.696652, 23.911986, 4.528243, 22.915068
20000, 8, 2500, 5218.731211926788, 63108.334504, 5332.629670981318, 5971.604727, 1.0962847594530298, 1250, 1360.1219154914018, 5968.138072, 1.038615, 0.011812, 1.648859, 5414.052124198526, 1499.432032, 1.174782663585686, 625, 699.9884374045046, 1493.595247, 2.387142, 0.044944, 3.141916, 5488.26688779518, 820.347218, 1.2440050170474135, 312.5, 402.65524956220304, 808.504322, 5.256598, 0.21341, 6.125626, 5565.522297624499, 524.293002, 1.3067336561796645, 156.25, 264.7672621851123, 499.648563, 11.423079, 1.001486, 11.966177, 5656.340722527355, 294.200685, 1.3970533117128585, 78.125, 137.3778150303025, 242.427485, 23.932494, 4.550094, 22.991251
20000, 8, 2500, 5157.248945053667, 62578.025092, 5268.528836198151, 3397.080857, 1.0951772929364842, 1250, 588.713215411375, 3393.736311, 1.173318, 0.01054, 1.629313, 5339.764292379841, 889.775623, 1.1657895140974246, 625, 455.3125986616228, 883.441337, 2.598168, 0.045836, 3.083607, 5400.951379977167, 460.77023, 1.2365358131435484, 312.5, 269.0920497710774, 448.740053, 5.480126, 0.211988, 6.14379, 5492.644099716097, 542.83108, 1.3026698309962856, 156.25, 266.2242358426445, 518.437633, 11.243583, 0.990997, 11.866541, 5598.906129028648, 315.28356, 1.3932020082465022, 78.125, 145.64248822029924, 263.747776, 23.773987, 4.528825, 22.960683
