N, N, MST_Cost, MST_Runtime, RunType, C173_MFC_Cost, C173_MFC_Completion_Cost, C173_MFC_Runtime, C173_Gamma, C173_Cluster_Size_Mu, C173_Cluster_Size_Sigma, C173_Sub_Clustering_Runtime, C173_Completion_Edges_Runtime, C173_Completion_Runtime, C173_Clustering_Runtime, C173_Find_Reps_Runtime, C173_Pick_Reps_Runtime, C173_Rep_Count, C173_Reps_Cost, C173_Clustering_Dist_Calls, C173_Sub_Clustering_Dist_Calls, C173_MFC_Dist_Calls, C173_Dist_Calls, C86_MFC_Cost, C86_MFC_Completion_Cost, C86_MFC_Runtime, C86_Gamma, C86_Cluster_Size_Mu, C86_Cluster_Size_Sigma, C86_Sub_Clustering_Runtime, C86_Completion_Edges_Runtime, C86_Completion_Runtime, C86_Clustering_Runtime, C86_Find_Reps_Runtime, C86_Pick_Reps_Runtime, C86_Rep_Count, C86_Reps_Cost, C86_Clustering_Dist_Calls, C86_Sub_Clustering_Dist_Calls, C86_MFC_Dist_Calls, C86_Dist_Calls, C43_MFC_Cost, C43_MFC_Completion_Cost, C43_MFC_Runtime, C43_Gamma, C43_Cluster_Size_Mu, C43_Cluster_Size_Sigma, C43_Sub_Clustering_Runtime, C43_Completion_Edges_Runtime, C43_Completion_Runtime, C43_Clustering_Runtime, C43_Find_Reps_Runtime, C43_Pick_Reps_Runtime, C43_Rep_Count, C43_Reps_Cost, C43_Clustering_Dist_Calls, C43_Sub_Clustering_Dist_Calls, C43_MFC_Dist_Calls, C43_Dist_Calls
30000, 30000, 0, 0, dp_29.000000, 1001428, 20320, 1914820.676292, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1012829.268131, 1.467442, 44310.060054, 602232.253498, 1175.802752, 5017, 3512, 10350001, 56962370, 393046445, 460358816, 1010916, 10286, 1201361.944667, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 458436.679634, 0.394911, 21709.186419, 301449.507158, 143.417839, 2494, 4618, 5130001, 95829033, 186950301, 287909335, 989013, 5690, 1034873.624581, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 205570.916683, 0.095939, 10718.323336, 152844.698398, 17.34997, 1247, 3078, 2550001, 151597340, 87214449, 241361790
30000, 30000, 0, 0, dp_3.000000, 1004434, 23326, 448798.3670010001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 106853.390441, 1.476268, 44310.060054, 43353.043627, 8.572196, 519, 25061, 10350001, 56962370, 36203377, 103515748, 1013187, 12557, 512405.181214, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 49224.238888, 0.38955, 21709.186419, 21847.543165, 1.064486, 258, 15749, 5130001, 95829033, 17109489, 118068523, 990066, 6743, 709404.53632, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 21887.413425, 0.104987, 10718.323336, 11076.202815, 0.251502, 129, 8296, 2550001, 151597340, 7919647, 162066988
30000, 30000, 0, 0, dp_31.000000, 1001377, 20269, 2014605.954088, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1061759.23142, 1.48228, 44310.060054, 652918.745134, 1344.610785, 5363, 3170, 10350001, 56962370, 419525074, 486837445, 1010908, 10278, 1262227.027405, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 496344.033097, 0.387426, 21709.186419, 324387.316307, 163.34545, 2666, 4311, 5130001, 95829033, 199968829, 300927863, 988984, 5661, 1064577.4562849998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 219844.470865, 0.103595, 10718.323336, 168272.422561, 19.895673, 1333, 2935, 2550001, 151597340, 93381079, 247528420
30000, 30000, 0, 0, dp_33.000000, 1001368, 20260, 2131817.302471, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1136995.583979, 1.524279, 44310.060054, 694713.883898, 1524.425846, 5709, 2863, 10350001, 56962370, 447160440, 514472811, 1010898, 10268, 1309196.820228, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 523428.459004, 0.401633, 21709.186419, 344250.577494, 185.436972, 2838, 4039, 5130001, 95829033, 213106017, 314065051, 988984, 5661, 1084861.906169, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 234179.474093, 0.107371, 10718.323336, 174219.190849, 22.570265, 1419, 2804, 2550001, 151597340, 99547709, 253695050
30000, 30000, 0, 0, dp_35.000000, 1001367, 20259, 2253710.346646, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1215060.10789, 1.486687, 44310.060054, 738351.655351, 1715.212249, 6055, 2590, 10350001, 56962370, 474795806, 542108177, 1010891, 10261, 1360674.306499, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 552643.067941, 0.390292, 21709.186419, 366489.642367, 209.260774, 3010, 3792, 5130001, 95829033, 225424219, 326383253, 988978, 5655, 1109067.3403929998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 247231.473799, 0.104165, 10718.323336, 185369.594122, 25.604716, 1505, 2681, 2550001, 151597340, 105284799, 259432140
30000, 30000, 0, 0, dp_37.000000, 1001361, 20253, 2348119.1810629996, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1272582.842943, 1.673548, 44310.060054, 775033.32959, 1919.450513, 6401, 2349, 10350001, 56962370, 501624304, 568936675, 1010891, 10261, 1414081.9467749998, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 582833.825998, 0.394901, 21709.186419, 389681.621459, 234.159292, 3182, 3561, 5130001, 95829033, 238251806, 339210840, 988975, 5652, 1137121.622039, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 263508.869754, 0.10146, 10718.323336, 197143.655541, 28.431693, 1591, 2569, 2550001, 151597340, 111399153, 265546494
30000, 30000, 0, 0, dp_39.000000, 1001357, 20249, 2459763.149233, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 1340920.927497, 1.515441, 44310.060054, 818125.882519, 2132.939307, 6747, 2128, 10350001, 56962370, 529239683, 596552054, 1010883, 10253, 1464722.443429, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 612600.254608, 0.574076, 21709.186419, 410518.399851, 271.269769, 3354, 3360, 5130001, 95829033, 250971144, 351930178, 988975, 5652, 1157816.024696, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 274156.256255, 0.10673, 10718.323336, 207186.207097, 32.891023, 1677, 2468, 2550001, 151597340, 117369748, 271517089
30000, 30000, 0, 0, dp_5.000000, 1002884, 21776, 559885.8787120001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 174749.552779, 1.704016, 44310.060054, 86523.665842, 29.071606, 865, 18796, 10350001, 56962370, 63808859, 131121230, 1011703, 11073, 566103.8675609999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 81349.925962, 0.394109, 21709.186419, 43418.156833, 3.445532, 430, 12929, 5130001, 95829033, 30213249, 131172283, 989763, 6440, 734299.102586, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 35944.750955, 0.097102, 10718.323336, 21913.175362, 0.515576, 215, 6711, 2550001, 151597340, 14057641, 168204982
30000, 30000, 0, 0, dp_7.000000, 1002343, 21235, 671240.8305230001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 243027.112578, 1.486087, 44310.060054, 129569.031605, 61.315784, 1211, 15331, 10350001, 56962370, 91384457, 158696828, 1011455, 10825, 619718.5295879999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 113381.24986, 0.385302, 21709.186419, 64997.535829, 7.413472, 602, 11259, 5130001, 95829033, 43350437, 144309471, 989441, 6118, 759279.72376, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 49905.533211, 0.102842, 10718.323336, 32932.563234, 0.960882, 301, 5784, 2550001, 151597340, 20156428, 174303769
30000, 30000, 0, 0, dp_9.000000, 1002170, 21062, 786544.377476, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 314944.840904, 1.504231, 44310.060054, 172910.475988, 105.671884, 1557, 12885, 10350001, 56962370, 119019823, 186332194, 1011282, 10652, 671181.33439, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 143267.063443, 0.405711, 21709.186419, 86569.272894, 12.647217, 774, 10065, 5130001, 95829033, 56368965, 157327999, 989359, 6036, 786005.9717329999, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 65686.563361, 0.105057, 10718.323336, 43877.117633, 1.622091, 387, 5252, 2550001, 151597340, 26270782, 180418123
30000, 30000, 0, 0, fixed_reps_1, 1007991, 26883, 335382.18946900003, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 36629.412916, 1.469386, 44310.060054, 169.422698, 0, 173, 44902, 10350001, 56962370, 8607985, 75920356, 1016062, 15432, 458379.98774699995, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 16880.188992, 0.377858, 21709.186419, 167.475772, 0, 86, 25142, 5130001, 95829033, 3972301, 104931335, 991385, 8062, 684178.2437869998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 7571.427069, 0.088716, 10718.323336, 166.164411, 0, 43, 13789, 2550001, 151597340, 1781653, 155928994
30000, 30000, 0, 0, fixed_reps_11, 1002041, 20933, 679619.003596, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 379642.234854, 1.492358, 44310.060054, 1393.391915, 0, 1903, 16369, 10350001, 56962370, 94686105, 161998476, 1011383, 10753, 616770.5377019999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 174036.764583, 0.400281, 21709.186419, 1401.427713, 0, 946, 11456, 5130001, 95829033, 43694451, 144653485, 989276, 5953, 756011.053988, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 78143.221427, 0.11244, 10718.323336, 1427.15653, 0, 473, 6286, 2550001, 151597340, 19597753, 173745094
30000, 30000, 0, 0, fixed_reps_13, 1001920, 20812, 748517.447215, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 448289.506954, 1.652138, 44310.060054, 1644.403654, 0, 2249, 14842, 10350001, 56962370, 111901729, 179214100, 1011319, 10689, 649932.3323359999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 206914.253227, 0.391965, 21709.186419, 1685.742019, 0, 1118, 10759, 5130001, 95829033, 51638881, 152597915, 989219, 5896, 770653.181922, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 92340.853765, 0.101951, 10718.323336, 1871.662615, 0, 559, 5999, 2550001, 151597340, 23160973, 177308314
30000, 30000, 0, 0, fixed_reps_15, 1001905, 20797, 816883.509744, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 516412.470338, 1.588259, 44310.060054, 1887.566678, 0, 2595, 13549, 10350001, 56962370, 129117353, 196429724, 1011245, 10615, 680093.123983, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 236848.694907, 0.393518, 21709.186419, 1912.090433, 0, 1290, 10324, 5130001, 95829033, 59583311, 160542345, 989201, 5878, 783489.7308379998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 105114.45118, 0.105578, 10718.323336, 1934.610489, 0, 645, 5409, 2550001, 151597340, 26724193, 180871534
30000, 30000, 0, 0, fixed_reps_17, 1001875, 20767, 885102.6734020001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 584381.081797, 1.515141, 44310.060054, 2138.191995, 0, 2941, 12490, 10350001, 56962370, 146332977, 213645348, 1011170, 10540, 710705.619066, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 267218.759665, 0.397766, 21709.186419, 2154.51651, 0, 1462, 9751, 5130001, 95829033, 67527741, 168486775, 989157, 5834, 797666.0738659999, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 119045.267305, 0.102863, 10718.323336, 2180.140107, 0, 731, 5170, 2550001, 151597340, 30287413, 184434754
